School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
DEER PARK HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,DEER PARK SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,"S. 800 WEBER ROAD
DEER PARK
"
DEER PARK MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,DEER PARK SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,6-8,0,1,"S. 347 COLVILLE AVE.
DEER PARK
"
DISCOVERY ELEMENTARY,2016-17,Y,117,86.3%,2.6%,9.4%,1.7%,0%,1.7%,0%,0%,91.5%,91.5%,92.3%,92.3%,94%,88.9%,101,3,11,2,0,2,0,0,10,10,9,9,7,13,PUBLIC SCHOOL,MUKILTEO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,1,0,"11700 MERIDIAN AVE
EVERETT
"
DIXIE ELEMENTARY SCHOOL,2016-17,Y,2,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,DIXIE SCHOOL DISTRICT,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,PK-5,1,0,"PO BOX 40
DIXIE
"
DOWER ELEMENTARY SCHOOL,2016-17,Y,43,97.7%,0%,0%,2.3%,0%,2.3%,0%,0%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,42,0,0,1,0,1,0,0,1,1,1,1,1,1,PUBLIC SCHOOL,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,"7817 DOWER RD WEST
LAKEWOOD
"
E OMAK ELEMENTARY,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,OMAK SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,3-5,0,0,"P O BOX 833
OMAK
"
EASTON SCHOOL,2016-17,Y,9,66.7%,11.1%,22.2%,0%,0%,0%,0%,0%,77.8%,77.8%,88.9%,88.9%,77.8%,77.8%,6,1,2,0,0,0,0,0,2,2,1,1,2,2,PUBLIC SCHOOL,EASTON SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,K -12,1,1,"P O BOX 8
EASTON
"
EATONVILLE ELEMENTARY SCHOOL,2016-17,Y,55,72.7%,1.8%,25.5%,0%,0%,0%,0%,0%,80%,80%,78.2%,78.2%,94.5%,80%,40,1,14,0,0,0,0,0,11,11,12,12,3,11,PUBLIC SCHOOL,EATONVILLE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"PO BOX 669
EATONVILLE
"
EATONVILLE HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,EATONVILLE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,"PO BOX 699
EATONVILLE
"
EATONVILLE MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,EATONVILLE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,"PO BOX 910
EATONVILLE
"
EDISON ELEMENTARY AND 7/8,2016-17,Y,42,81%,2.4%,7.1%,9.5%,0%,9.5%,0%,0%,83.3%,83.3%,83.3%,83.3%,85.7%,85.7%,34,1,3,4,0,4,0,0,7,7,7,7,6,6,PUBLIC SCHOOL,BURLINGTON-EDISON SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-8,1,1,
EISMANN ELEMENTARY,2016-17,Y,107,93.5%,0%,1.9%,4.7%,0%,4.7%,0%,0%,96.3%,96.3%,96.3%,95.3%,96.3%,93.5%,100,0,2,5,0,5,0,0,4,4,4,5,4,7,PUBLIC SCHOOL,SUMNER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"13802 CANYON VIEW BLVD. EAST
BONNEY LAKE
"
EMERSON ELEMENTARY,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,3-6,0,1,"1103 PINE STREET
SNOHOMISH
"
ELK RIDGE ELEMENTARY,2016-17,Y,90,81.1%,0%,0%,18.9%,11.1%,7.8%,0%,0%,86.7%,86.7%,83.3%,84.4%,95.6%,82.2%,73,0,0,17,10,7,0,0,12,12,15,14,4,16,PUBLIC SCHOOL,WHITE RIVER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"PO BOX 1685
BUCKLEY
"
ELLSWORTH ELEMENTARY SCHOOL,2016-17,Y,74,63.5%,1.4%,32.4%,2.7%,0%,1.4%,0%,1.4%,73%,73%,71.6%,71.6%,79.7%,73%,47,1,24,2,0,1,0,1,20,20,21,21,15,20,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,"512 SE ELLSWORTH AVENUE
VANCOUVER
"
ELMA HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ELMA SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,9-12,0,0,"1235 ELMA-MONTE RD
ELMA
"
ENDEAVOR MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOSES LAKE SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-8,0,1,"6527 PATTON BLVD
MOSES LAKE
"
ENDICOTT/ST JOHN ELEM AND MIDDLE,2016-17,Y,7,85.7%,0%,0%,14.3%,0%,14.3%,0%,0%,85.7%,85.7%,100%,85.7%,100%,100%,6,0,0,1,0,1,0,0,1,1,0,1,0,0,PUBLIC SCHOOL,ENDICOTT SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,K -8,1,1,"308 SCHOOL DR
ENDICOTT
"
ENGLISH CROSSING ELEMENTARY,2016-17,Y,51,82.4%,2%,9.8%,5.9%,0%,5.9%,0%,0%,90.2%,90.2%,88.2%,88.2%,90.2%,84.3%,42,1,5,3,0,3,0,0,5,5,6,6,5,8,PUBLIC SCHOOL,LAKEWOOD SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,1,0,"P.O. BOX 50
NORTH LAKEWOOD
"
ENTERPRISE MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,RICHLAND SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,6-8,0,1,"5200 PARADISE WAY
WEST RICHLAND
"
EPHRATA MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,EPHRATA SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,7-8,0,0,"384 &quot;A&quot; SE
EPHRATA
"
FALL CITY ELEMENTARY,2016-17,Y,94,81.9%,0%,9.6%,8.5%,2.1%,5.3%,1.1%,0%,86.2%,86.2%,87.2%,86.2%,90.4%,86.2%,77,0,9,8,2,5,1,0,13,13,12,13,9,13,PUBLIC SCHOOL,SNOQUALMIE VALLEY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"BOX 220
FALL CITY
"
FIRGROVE ELEMENTARY,2016-17,Y,84,95.2%,1.2%,1.2%,2.4%,0%,2.4%,0%,0%,96.4%,97.6%,95.2%,96.4%,97.6%,96.4%,80,1,1,2,0,2,0,0,3,2,4,3,2,3,PUBLIC SCHOOL,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,"13918 MERIDIAN S
PUYALLUP
"
FOOTHILLS ELEMENTARY,2016-17,Y,108,92.6%,1.9%,0.9%,4.6%,0.9%,3.7%,0%,0%,96.3%,96.3%,94.4%,93.5%,97.2%,96.3%,100,2,1,5,1,4,0,0,4,4,6,7,3,4,PUBLIC SCHOOL,WHITE RIVER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"PO BOX 2210
BUCKLEY
"
FORT STEVENS ELEMENTARY,2016-17,Y,79,86.1%,1.3%,7.6%,5.1%,0%,3.8%,1.3%,0%,88.6%,88.6%,91.1%,87.3%,93.7%,91.1%,68,1,6,4,0,3,1,0,9,9,7,10,5,7,PUBLIC SCHOOL,YELM SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,1,1,"PO BOX 476
YELM
"
FRIDAY HARBOR ELEMENTARY SCHOOL,2016-17,Y,56,39.3%,1.8%,53.6%,5.4%,1.8%,1.8%,1.8%,0%,62.5%,60.7%,64.3%,60.7%,75%,60.7%,22,1,30,3,1,1,1,0,21,22,20,22,14,22,PUBLIC SCHOOL,SAN JUAN ISLAND SCHOOL DISTRICT,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,1,1,"PO BOX 458
FRIDAY HARBOR
"
FRIDAY HARBOR HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SAN JUAN ISLAND SCHOOL DISTRICT,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,"PO BOX 458
FRIDAY HARBOR
"
FRIDAY HARBOR MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SAN JUAN ISLAND SCHOOL DISTRICT,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,0,0,"PO BOX 458
FRIDAY HARBOR
"
GARFIELD AT PALOUSE MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GARFIELD PALOUSE SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,6-8,0,1,"POB 398
GARFIELD
"
GARFIELD ELEMENTARY,2016-17,Y,8,62.5%,0%,12.5%,25%,0%,25%,0%,0%,87.5%,87.5%,75%,87.5%,87.5%,75%,5,0,1,2,0,2,0,0,1,1,2,1,1,2,PUBLIC SCHOOL,GARFIELD PALOUSE SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-5,1,0,"POB 398
GARFIELD
"
GESS ELEMENTARY,2016-17,Y,47,78.7%,8.5%,0%,12.8%,4.3%,10.6%,0%,0%,83%,83%,85.1%,89.4%,87.2%,83%,37,4,0,6,2,5,0,0,8,8,7,5,6,8,PUBLIC SCHOOL,CHEWELAH SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K -6,1,1,"P.O. BOX 7
CHEWELAH
"
GIBSON EK HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,"379 1ST PL SE
ISSAQUAH
"
GIG HARBOR ACADEMY,2016-17,Y,7,85.7%,14.3%,0%,0%,0%,0%,0%,0%,85.7%,100%,100%,85.7%,100%,100%,6,1,0,0,0,0,0,0,1,0,0,1,0,0,PRIVATE SCHOOL,PENINSULA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,1,0,"6820 33RD ST NW
GIG HARBOR
"
GLACIER MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WHITE RIVER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,"PO BOX 1683
BUCKLEY
"
GLACIER VALLEY HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE CHELAN SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,0,0,"PO BOX 369
CHELAN
"
GLENRIDGE ELEMENTARY,2016-17,Y,70,85.7%,1.4%,7.1%,5.7%,1.4%,4.3%,1.4%,0%,90%,90%,90%,91.4%,97.1%,90%,60,1,5,4,1,3,1,0,7,7,7,6,2,7,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,"19405 120TH AVE SE
RENTON
"
GLENWOOD ELEMENTARY,2016-17,Y,4,75%,25%,0%,0%,0%,0%,0%,0%,75%,75%,100%,100%,100%,75%,3,1,0,0,0,0,0,0,1,1,0,0,0,1,PUBLIC SCHOOL,GLENWOOD SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K -6,1,1,"PO BOX 12
GLENWOOD
"
GOLDENDALE MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GOLDENDALE SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 105,5-8,0,1,"520 E. COLLINS DR.
GOLDENDALE
"
GOOD SHEPHERD MONTESSORI,2016-17,Y,4,25%,0%,0%,75%,0%,75%,0%,0%,50%,50%,50%,75%,50%,50%,1,0,0,3,0,3,0,0,2,2,2,1,2,2,PRIVATE SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,PK-K,1,0,"805 SE 145TH AVE
VANCOUVER
"
GRAYS HARBOR ADVENTIST CHRISTIAN SCHOOL,2016-17,Y,2,50%,50%,0%,0%,0%,0%,0%,0%,50%,50%,50%,50%,100%,50%,1,1,0,0,0,0,0,0,1,1,1,1,0,1,PRIVATE SCHOOL,MONTESANO SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K-8,1,1,"1216 STATE ROUTE 12
MONTESANO
"
GRIFFIN BAY SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SAN JUAN ISLAND SCHOOL DISTRICT,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,1,1,"PO BOX 458
FRIDAY HARBOR
"
HALLETT ELEMENTARY,2016-17,Y,76,84.2%,3.9%,2.6%,9.2%,0%,7.9%,1.3%,0%,90.8%,90.8%,88.2%,90.8%,90.8%,85.5%,64,3,2,7,0,6,1,0,7,7,9,7,7,11,PUBLIC SCHOOL,MEDICAL LAKE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,1,0,"PO BOX 128
MEDICAL LAKE
"
HARRAH COMMUNITY CHRISTIAN SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,MOUNT ADAMS SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-8,1,1,"50 DANE AVE
HARRAH
"
HARRAH ELEMENTARY SCHOOL,2016-17,Y,78,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,78,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOUNT ADAMS SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-6,1,1,"P.O. BOX 159
HARRAH
"
HARRINGTON ELEMENTARY SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,HARRINGTON SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -6,1,1,"PO BOX 204
HARRINGTON
"
HARRINGTON HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,HARRINGTON SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,7-12,0,0,"PO BOX 204
HARRINGTON
"
HENRY M. JACKSON HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,"1508 136TH ST. SE
EVERETT
"
HIGHLAND ELEMENTARY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUBLIC SCHOOL,CLARKSTON SCHOOL DISTRICT,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,1,1,"1432 HIGHLAND ST
CLARKSTON
"
HIGHLAND HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,HIGHLAND SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,10-12,0,0,"PO BOX 38
COWICHE
"
HIGHLAND JUNIOR HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,HIGHLAND SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,7-9,0,0,"PO BOX 38
COWICHE
"
HIGHLANDS HIGH SCHOOL (OMAK ALTERNATIVE HIGH SCHOOL),2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,OMAK SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,0,0,"P O BOX 833
OMAK
"
HILLCREST ELEMENTARY SCHOOL,2016-17,Y,127,85%,3.9%,7.1%,3.9%,1.6%,2.4%,0%,0%,92.9%,92.9%,92.1%,89.8%,93.7%,89%,108,5,9,5,2,3,0,0,9,9,10,13,8,14,PUBLIC SCHOOL,LAKE STEVENS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,"9315 4TH STREET SE
EVERETT
"
HILLTOP SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,OCEAN BEACH SCHOOL DISTRICT,PACIFIC,EDUCATIONAL SERVICE DISTRICT 112,5-8,0,1,"PO BOX F
ILWACO
"
HOLDEN VILLAGE COMMUNITY SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE CHELAN SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -12,1,1,"HCOO STOP 2
CHELAN
"
HORIZON MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,0,0,"P.O. BOX 1769
FERNDALE
"
HULAN L WHITSON ELEM,2016-17,Y,96,68.8%,4.2%,25%,2.1%,2.1%,0%,0%,0%,80.2%,80.2%,81.3%,78.1%,89.6%,79.2%,66,4,24,2,2,0,0,0,19,19,18,21,10,20,PUBLIC SCHOOL,WHITE SALMON VALLEY SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K -4,1,0,"PO BOX 1279
WHITE SALMON
"
INCHELIUM ELEMENTARY SCHOOL,2016-17,Y,20,60%,0%,40%,0%,0%,0%,0%,0%,75%,75%,70%,70%,80%,75%,12,0,8,0,0,0,0,0,5,5,6,6,4,5,PUBLIC SCHOOL,INCHELIUM SCHOOL DISTRICT,FERRY,EDUCATIONAL SERVICE DISTRICT 101,K -5,1,0,"1 HORNET AVENUE
INCHELIUM
"
INCHELIUM HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,INCHELIUM SCHOOL DISTRICT,FERRY,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,"1 HORNET AVENUE
INCHELIUM
"
INCHELIUM MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,INCHELIUM SCHOOL DISTRICT,FERRY,EDUCATIONAL SERVICE DISTRICT 101,6-8,0,1,"1 HORNET AVENUE
INCHELIUM
"
INTERAGENCY PROGRAMS,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-12,0,1,"PO BOX 34165
SEATTLE
"
I-TRACC,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,"13313 E BARKER
SPOKANE VALLEY
"
NORTH BEND MONTESSORI INC,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,SNOQUALMIE VALLEY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-1,1,0,"248 BALLARAT AVE N
NORTH BEND
(47.495832, -121.783076)"
JOYFUL SCHOLARS MONTESSORI ELEMENTARY SCHOOL,2016-17,Y,5,80%,0%,0%,20%,0%,20%,0%,0%,80%,80%,80%,80%,80%,80%,4,0,0,1,0,1,0,0,1,1,1,1,1,1,PRIVATE SCHOOL,WENATCHEE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K-8,1,1,"12 N CHELAN ST (MAIL: 1416 S HILLS DR WENATCHEE WA 98801-3218)
WENATCHEE
"
JULIA BUTLER HANSEN ELEMENTARY,2016-17,Y,72,80.6%,0%,16.7%,2.8%,1.4%,1.4%,0%,0%,88.9%,88.9%,88.9%,87.5%,90.3%,86.1%,58,0,12,2,1,1,0,0,8,8,8,9,7,10,PUBLIC SCHOOL,OLYMPIA SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,1,0,"1919 ROAD SIXTY FIVE NW
OLYMPIA
"
KAHLOTUS ELEM & HIGH,2016-17,Y,3,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,KAHLOTUS SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,PK-12,1,1,"PO BOX 69
KAHLOTUS
"
KELLER ELEMENTARY SCHOOL,2016-17,Y,2,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,KELLER SCHOOL DISTRICT,FERRY,EDUCATIONAL SERVICE DISTRICT 101,K -6,1,1,"P.O. BOX 367
KELLER
"
KETTLE FALLS ELEMENTARY SCHOOL,2016-17,Y,55,90.9%,5.5%,1.8%,1.8%,0%,1.8%,0%,0%,98.2%,98.2%,98.2%,94.5%,96.4%,92.7%,50,3,1,1,0,1,0,0,1,1,1,3,2,4,PUBLIC SCHOOL,KETTLE FALLS SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K -4,1,0,"PO BOX 458
KETTLE FALLS
"
